Date,Severity,Host,IP,Message,
 09:22:41,5,N5548-2-ZCSC-NS-AS,172.20.0.151, 2026 Apr 27 08:47:04.962 PRC: %ETH_PORT_CHANNEL-5-PORT_INDIVIDUAL_DOWN: individual port Ethernet108/1/9 is down,
 09:22:41,5,N5548-2-ZCSC-NS-AS,172.20.0.151, 2026 Apr 27 08:47:04.957 PRC: %ETH_PORT_CHANNEL-5-PORT_INDIVIDUAL_DOWN: individual port Ethernet108/1/7 is down,
 09:22:41,5,N5548-1-ZCSC-NS-AS,172.20.0.51, 2026 Apr 27 09:42:53.560 PRC: %ETH_PORT_CHANNEL-5-PORT_INDIVIDUAL_DOWN: individual port Ethernet108/1/6 is down,
 09:22:41,5,N5548-2-ZCSC-NS-AS,172.20.0.151, 2026 Apr 27 08:47:04.951 PRC: %ETH_PORT_CHANNEL-5-PORT_INDIVIDUAL_DOWN: individual port Ethernet108/1/8 is down,
 09:22:41,5,N5548-2-ZCSC-NS-AS,172.20.0.151, 2026 Apr 27 08:47:04.946 PRC: %ETH_PORT_CHANNEL-5-PORT_INDIVIDUAL_DOWN: individual port Ethernet108/1/6 is down,
 09:22:33,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:22:32.365.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207315]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:22:15,4,S5700-YIWUSHI-ES-WF,172.30.38.76," 2026 09:22:15+08:00 S5700-yiwushi-ES-WF L2IFPPI/4/MFLPVLANALARM:OID 1.3.6.1.4.1.2011.5.25.160.3.7 MAC move detected, VlanId = 108, MacAddress = ca5f-aeb8-903a, Original-Port = GE0/0/12, Flapping port = GE0/0/9 and GE0/0/11. Please check the network accessed to flapping port.",
 09:22:14,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:22:12.905.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207314]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:21:54,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:21:53.435.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207312]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:21:51,2,C2960-1-YG302-ES-ZIKONG,172.20.133.72," Apr 27 2026 09:21:50.152: %SFF8472-5-THRESHOLD_VIOLATION: Gi0/52: Rx power low alarm; Operating value: -23.3 dBm, Threshold value: -23.0 dBm.",
 09:21:49,2,C4500X-1-T07-AV-AS,172.20.32.17," Apr 27 2026 09:21:48.484: %SFF8472-5-THRESHOLD_VIOLATION: Te1/9: Rx power low alarm; Operating value: -16.6 dBm, Threshold value: -13.9 dBm.",
 09:21:49,6,CE6857-56-ZCSC-NS-AS,172.20.0.196," 2026 09:21:48.224+08:00 CE6857-56-ZCSC-NS-AS %%01BGP/6/PEER_STATE_CHG(l):CID=0x80130454;The state of the peer changed after receiving an event. (PrevState=ACTIVE, CurrState=CONNECT, InputEvent=CR_TIMER, Peer=10.32.255.9, SourceInterface=-, VpnInstance=_public_)",
 09:21:43,2,C7606-2-WAN-NS-AR,172.22.20.1, Apr 27 2026 09:21:41.345: %EARL_L3_ASIC-DFC3-3-INTR_WARN: EARL L3 ASIC: Non-fatal interrupt Decision Engine block interrupt,
 09:21:36,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:21:33.965.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207311]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:21:34,4,S5700-1-F1A-ES-GWWX,10.18.254.231," 2026 09:21:34+08:00 S5700-1-F1A-ES-GWWX L2IFPPI/4/MFLPVLANALARM:OID 1.3.6.1.4.1.2011.5.25.160.3.7 MAC move detected, VlanId = 3, MacAddress = dee1-071e-b082, Original-Port = GE0/0/1, Flapping port = GE0/0/3. Please check the network accessed to flapping port.",
 09:21:18,3,SPINE203,10.110.11.119, [F3696][raised][coop-ep-dampening][major][sys/coop/inst/dom-overlay-1/fault-F3696] 1 EPs are in freeze state.,
 09:21:18,3,SPINE203,10.110.11.119, [F3696][raised][coop-ep-dampening][major][sys/coop/inst/dom-overlay-1/fault-F3696] 1 EPs are in freeze state.,
 09:21:17,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:21:14.505.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207310]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:20:55,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:20:55.105.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207309]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:20:48,4,S5700-1-F1A-ES-GWWX,10.18.254.231," 2026 09:20:48+08:00 S5700-1-F1A-ES-GWWX L2IFPPI/4/MFLPVLANALARM:OID 1.3.6.1.4.1.2011.5.25.160.3.7 MAC move detected, VlanId = 3, MacAddress = dee1-071e-b082, Original-Port = GE0/0/1, Flapping port = GE0/0/3. Please check the network accessed to flapping port.",
 09:20:43,2,C7606-2-WAN-NS-AR,172.22.20.1, Apr 27 2026 09:20:41.336: %EARL_L3_ASIC-DFC3-3-INTR_WARN: EARL L3 ASIC: Non-fatal interrupt Decision Engine block interrupt,
 09:20:36,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:20:35.595.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207307]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:20:32,4,S5735-1-T06-AV_PBX-AS,172.20.135.16," 2026 09:20:31+08:00 S5735-1-T06-AV_PBX-AS %%01FEI/4/hwMflpVlanLoopPeriodicTrap(t):Service=fwmd0-OID=1.3.6.1.4.1.2011.5.25.160.3.20;MAC flapping detected, VlanId = 1, Original-Port = 10GE1/0/1, Flapping port 1 = 10GE1/0/2, port 2 = -. Check the network connected to the interface learning a flapping MAC address : 001c-549c-087c.",
 09:20:31,4,CE6857-4-ZCSC-NS-AS,172.20.0.102," 2026 09:20:29.354+08:00 CE6857-4-ZCSC-NS-AS %%01DEVM/4/hwIfMonitorInputRateRising_clear(l):CID=0x80fc0101-alarmID=0x081300ae-clearType=service_resume;Interface input flow bandwidth usage was restored to the trap threshold. (Interface=18, BandWidthUsage=81, TrapThreshold=90, InterfaceName=10GE1/0/8)",
 09:20:17,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:20:16.105.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207305]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:20:03,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:19:56.645.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207304]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:20:00,4,ALTEON5208-1-ZCDC-NS-LB,10.112.8.49, AlteonOS <appsvc>: Certificate WebManagementCert has expired,
 09:19:58,6,CE6857-1-ZSNC-NS-DS,172.20.9.253," 2026 09:19:58.735+08:00 CE6857-1-ZSNC-NS-DS %%01BGP/6/PEER_STATE_CHG(l):CID=0x80130455;The state of the peer changed after receiving an event. (PrevState=ACTIVE, CurrState=CONNECT, InputEvent=CR_TIMER, Peer=10.31.96.122, SourceInterface=-, VpnInstance=WLAN-Server_Fou)",
 09:19:47,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:19:37.185.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207302]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:19:43,6,CE6857-2-ZSNC-NS-DS,172.20.9.254," 2026 09:19:42.627+08:00 CE6857-2-ZSNC-NS-DS %%01BGP/6/PEER_STATE_CHG(l):CID=0x80130453;The state of the peer changed after receiving an event. (PrevState=ACTIVE, CurrState=CONNECT, InputEvent=CR_TIMER, Peer=10.32.90.6, SourceInterface=-, VpnInstance=OA-Client_Com_RP)",
 09:19:43,2,C7606-2-WAN-NS-AR,172.22.20.1, Apr 27 2026 09:19:41.336: %EARL_L3_ASIC-DFC3-3-INTR_WARN: EARL L3 ASIC: Non-fatal interrupt Decision Engine block interrupt,
 09:19:18,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:19:17.715.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207301]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:19:03,3,SPINE203,10.110.11.119, [F3696][soaking][coop-ep-dampening][major][sys/coop/inst/dom-overlay-1/fault-F3696] 1 EPs are in freeze state.,
 09:19:03,3,SPINE203,10.110.11.119, [F3696][soaking][coop-ep-dampening][major][sys/coop/inst/dom-overlay-1/fault-F3696] 1 EPs are in freeze state.,
 09:19:03,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:18:58.215.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207300]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:18:43,2,C7606-2-WAN-NS-AR,172.22.20.1, Apr 27 2026 09:18:41.336: %EARL_L3_ASIC-DFC3-3-INTR_WARN: EARL L3 ASIC: Non-fatal interrupt Decision Engine block interrupt,
 09:18:42,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:18:38.745.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207299]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:18:23,6,S5731-1-ZCNC-NS-AR,10.80.16.21," 2026 09:18:23.908.1+08:00 S5731-1-ZCNC-NS-AR %%01SECE/6/QUEUE_DROP(l)[775583]:Rate of packets to cpu exceeded the QUEUE limit. (SlotId=0, Queue0DropNumber=0, Queue1DropNumber=30, Queue2DropNumber=0, Queue3DropNumber=0, Queue4DropNumber=0, Queue5DropNumber=0, Queue6DropNumber=0, Queue7DropNumber=0)",
 09:18:20,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:18:19.285.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207298]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:18:13,5,AE9700-1-CNR-WLAN,172.20.246.13," 2026 09:18:13.433.2+08:00 AE9700-1-CNR-WLAN %%01DHCP/5/WAITOFFER_TIMEOUT(l)[909865]:The DHCP server did not respond within the specified period. (Client InterfaceName=Vlanif1, Current state=Init, MAC address=dcef-8032-6efd, Expected address=0.0.0.0)",
 09:18:04,6,S6850-1-F4-ES-AS,172.20.129.1, S6850-1-F4-ES-AS: Apr 27 2026 09:18:03.567: %TRACK-6-STATE: 2 ip sla 2 reachability Down -> Up,
 09:18:02,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:17:59.835.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207297]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:17:59,6,S6850-1-F4-ES-AS,172.20.129.1, S6850-1-F4-ES-AS: Apr 27 2026 09:17:58.566: %TRACK-6-STATE: 2 ip sla 2 reachability Up -> Down,
 09:17:58,5,ALTEON5208-3-ZCDC-NS-LB,10.112.8.55,  AlteonOS <ip>: default gateway 10.112.8.62 operational,
 09:17:57,5,S6650-1-T13-AV-AS,172.20.32.23, Apr 27 2026 09:17:56.991: %PIM-5-DRCHG: VRF CATV-Client_Com: DR change from neighbor 0.0.0.0 to 10.113.28.94 on interface Vlan190,
 09:17:43,2,C7606-2-WAN-NS-AR,172.22.20.1, Apr 27 2026 09:17:41.336: %EARL_L3_ASIC-DFC3-3-INTR_WARN: EARL L3 ASIC: Non-fatal interrupt Decision Engine block interrupt,
 09:17:40,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:17:40.365.2+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207295]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:17:38,6,H3C-2-YWA1-ES-GWWX,10.18.254.218, %%10MSTP/6/MSTP_NOTIFIED_TC(l): -DevIP=10.18.254.218; Instance 0's port Ethernet1/0/1 was notified of a topology change.,
 09:17:40,6,H3C-1-YW1-ES-GWWX,10.18.254.230, %%10MSTP/6/MSTP_NOTIFIED_TC(l): -DevIP=10.18.254.230; Instance 0's port GigabitEthernet1/0/9 was notified of a topology change.,
 09:17:39,6,H3C-1-YW1-ES-GWWX,10.18.254.230, %%10MSTP/6/MSTP_NOTIFIED_TC(l): -DevIP=10.18.254.230; Instance 0's port GigabitEthernet1/0/9 was notified of a topology change.,
 09:17:37,6,H3C-2-YWA1-ES-GWWX,10.18.254.218, %%10MSTP/6/MSTP_NOTIFIED_TC(l): -DevIP=10.18.254.218; Instance 0's port Ethernet1/0/1 was notified of a topology change.,
 09:17:36,6,H3C-1-F9-ES-GWWX,10.18.254.217, %%10MSTP/6/MSTP_DETECTED_TC(l): Instance 0's port Ethernet1/0/1 detected a topology change.,
 09:17:36,6,H3C-1-F9-ES-GWWX,10.18.254.217, %%10MSTP/6/MSTP_FORWARDING(l): Instance 0's port Ethernet1/0/1 has been set to forwarding state.,
 09:17:30,4,C3850-1-ZCNC-XS,172.20.12.14, Apr 27 2026 09:17:29.396: %PLATFORM-4-ELEMENT_WARNING:Switch 1 R0/0: smand:  1/RP/0: Used Memory value 95% exceeds warning level 90%,
 09:17:23,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:17:20.885.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207293]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:17:08,6,CE6857-1-WAN-NS-AR,172.20.50.1," 2026 09:17:08.712+08:00 CE6857-1-WAN-NS-AR %%01BGP/6/PEER_STATE_CHG(l):CID=0x80130444;The state of the peer changed after receiving an event. (PrevState=ACTIVE, CurrState=CONNECT, InputEvent=CR_TIMER, Peer=10.31.198.30, SourceInterface=-, VpnInstance=Public_Cloud_AKAMAI)",
 09:17:03,4,S5730-1-A218_C4-DMZ-CNR-AS,172.20.65.33," 2026 09:17:03+08:00 S5730-1-A218_C4-DMZ-CNR-AS L2IFPPI/4/MFLPVLANALARM:OID 1.3.6.1.4.1.2011.5.25.160.3.7 MAC move detected, VLANID=1552, MacAddress=6c92-bfb8-cb9e, Original-Port=GE1/0/7, Flapping port=GE0/0/7. Please check the network accessed to flapping port.",
 09:17:03,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:17:01.415.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207292]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:16:47,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:16:41.945.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207291]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:16:43,2,C7606-2-WAN-NS-AR,172.22.20.1, Apr 27 2026 09:16:41.332: %EARL_L3_ASIC-DFC3-3-INTR_WARN: EARL L3 ASIC: Non-fatal interrupt Decision Engine block interrupt,
 09:16:33,3,SPINE203,10.110.11.119, [F3696][raised_clearing][coop-ep-dampening][major][sys/coop/inst/dom-overlay-1/fault-F3696] 1 EPs are in freeze state.,
 09:16:33,3,SPINE203,10.110.11.119, [F3696][raised_clearing][coop-ep-dampening][major][sys/coop/inst/dom-overlay-1/fault-F3696] 1 EPs are in freeze state.,
 09:16:32,5,C4900M-54-ZCSC-NS-AS,172.20.0.127," Apr 27 09:16:31.100: %SFF8472-5-THRESHOLD_VIOLATION: Te1/2: Rx power low warning; Operating value:  -9.9 dBm, Threshold value:  -9.9 dBm.",
 09:16:22,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:16:22.485.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207289]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:16:19,4,S5700-YIWUSHI-ES-WF,172.30.38.76," 2026 09:16:19+08:00 S5700-yiwushi-ES-WF L2IFPPI/4/MFLPVLANALARM:OID 1.3.6.1.4.1.2011.5.25.160.3.7 MAC move detected, VlanId = 108, MacAddress = ca5f-aeb8-903a, Original-Port = GE0/0/12, Flapping port = GE0/0/9 and GE0/0/11. Please check the network accessed to flapping port.",
 09:16:03,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:16:03.95.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207288]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
 09:15:57,4,S5730-1-A218_C6-CNR-AS,172.20.64.14," 2026 09:15:57+08:00 S5730-1-A218_C6-CNR-AS L2IFPPI/4/MFLPVLANALARM:OID 1.3.6.1.4.1.2011.5.25.160.3.7 MAC move detected, VLANID=1552, MacAddress=6c92-bfb8-d1be, Original-Port=GE0/0/9, Flapping port=GE1/0/9. Please check the network accessed to flapping port.",
 09:15:47,4,AE9700-2-CNR-WLAN,172.20.246.14," 2026 09:15:43.525.1+08:00 AE9700-2-CNR-WLAN %%01DHCP/4/DHCPSNP_ONLINE_FAIL(l)[1207287]:The user failed to request an IP address. (Client MAC Address=ccda-2052-ddce, VLAN=105, APId=129, APMAC=5cc0-a053-2eb0, APName=AP5761-B4-B407-CNR-WF, RadioId=0, SSID=CMG-Meeting, Failure Reason=No DHCP offer was received from the DHCP server)",
